;STD6310;STD6300;STD6300_VD;STD6310_VD
Acidovorax sp.;0;0;0;9
Acinetobacter sp.;0;0;0;5
Aeromonas sp.;0;0;0;20
Aliarcobacter cryaerophilus;0;0;6;77
Arcobacter faecis;0;0;0;5
Arcobacter sp.;0;0;0;23
Bacillus subtilis;799;2608;5350;2536
Bacteroides uniformis;0;0;0;22
Christensenellaceae R-7 group;0;0;0;8
Comamonas sp.;0;0;0;5
Cutibacterium acnes;3;13;0;0
Enterococcus faecalis;1;314;1296;3
Escherichia coli;224;2579;4700;357
Limosilactobacillus fermentum;33;1503;3108;8
Listeria monocytogenes;17518;412;395;22835
metagenome;0;0;0;5
Prevotella sp.;0;0;0;9
Pseudomonas aeruginosa;4289;567;1025;7132
Salmonella enterica;244;3275;5770;316
Serratia sp.;7;0;0;0
Staphylococcus aureus;29;492;826;0
Proteiniphilum sp.;0;0;0;10
Rikenellaceae sp.;0;0;0;9
Simplicispira sp.;0;0;0;5
Undibacterium sp.;8;0;0;2
